iter	RMSE
0	0.3907559672
1	0.3789014138
2	0.3671542435
3	0.3567052123
4	0.3467015999
5	0.3378783045
6	0.3289502064
7	0.3195798377
8	0.3115178821
9	0.3041716917
10	0.2969903638
11	0.2890869969
12	0.2825941544
13	0.2757778937
14	0.2694903413
15	0.2637041516
16	0.2578601017
17	0.2525341955
18	0.2468265452
19	0.2426246251
20	0.2377213077
21	0.2326121712
22	0.2288343616
23	0.2245184825
24	0.220614179
25	0.2166754243
26	0.2128992733
27	0.209643626
28	0.2060945735
29	0.2030424348
30	0.20009708
31	0.1969284224
32	0.1944555327
33	0.1919034768
34	0.1897622584
35	0.1872057919
36	0.184759147
37	0.1824845801
38	0.1803446582
39	0.1782762972
40	0.1761803645
41	0.1742408067
42	0.1725749595
43	0.1707696004
44	0.1690882504
45	0.1674736136
46	0.1656462971
47	0.1643219772
48	0.1627859522
49	0.1614965621
50	0.1600586228
51	0.1589042993
52	0.1578208601
53	0.1566264469
54	0.1552041599
55	0.1540016405
56	0.1528436288
57	0.1517321891
58	0.1505994491
59	0.1497938239
60	0.1488007169
61	0.1478245398
62	0.1469548431
63	0.1460812634
64	0.1450182218
65	0.1443524245
66	0.143392711
67	0.1425068535
68	0.1417259121
69	0.1410518354
70	0.140208624
71	0.139494961
72	0.1387922741
73	0.1381746113
74	0.1377459395
75	0.1370461393
76	0.1363019444
77	0.1356177386
78	0.1347941358
79	0.1343899724
80	0.1339369095
81	0.1335778099
82	0.1331025321
83	0.1325947969
84	0.1319777985
85	0.1314347608
86	0.1306355322
87	0.1303196249
88	0.1298429415
89	0.1294627719
90	0.1290667405
91	0.1285040719
92	0.1280478715
93	0.1275246951
94	0.1270072052
95	0.1264603546
96	0.1260094888
97	0.1255297797
98	0.1250542722
99	0.1246787874
100	0.1242972244
101	0.1240788291
102	0.1237185829
103	0.1233284126
104	0.1232183851
105	0.1228245245
106	0.1225804907
107	0.1221720412
108	0.1217786516
109	0.1216591053
110	0.121433062
111	0.121219162
112	0.1208533303
113	0.1203932961
114	0.1199645152
115	0.1195464389
116	0.1191068393
117	0.1186650991
118	0.1183162486
119	0.1181729523
120	0.1178124004
121	0.1176689486
122	0.1173498037
123	0.11695762
124	0.1166280979
125	0.1162970961
126	0.1159867941
127	0.1156193009
128	0.1155428842
129	0.1153343065
130	0.1151468624
131	0.1148046659
132	0.114483442
133	0.1140559267
134	0.1137604964
135	0.1134741135
136	0.1130739701
137	0.1126499809
138	0.1124929645
139	0.1122167649
140	0.1121320857
141	0.112025358
142	0.1119366691
143	0.1118409777
144	0.1116980286
145	0.1115879049
146	0.1112194739
147	0.1109203189
148	0.1106133658
149	0.1104949559
150	0.1102911276
151	0.1101883513
152	0.1098549112
153	0.1097858586
154	0.1097329982
155	0.1096889041
156	0.1095741393
157	0.1095186046
158	0.1094445021
159	0.1091447204
160	0.1089908887
161	0.1089296443
162	0.1088942121
163	0.1088318692
164	0.1088020192
