iter	Passed	Remaining
0	4	8084
1	7	7572
2	10	7252
3	14	7425
4	18	7234
5	21	7062
6	24	6991
7	27	6914
8	31	7054
9	35	7092
10	38	7039
11	42	6974
12	45	7007
13	49	7019
14	52	6960
15	55	6906
16	58	6850
17	62	6881
18	65	6866
19	69	6842
20	72	6806
21	75	6762
22	79	6799
23	82	6771
24	85	6750
25	88	6722
26	91	6683
27	94	6683
28	97	6656
29	101	6642
30	104	6615
31	107	6596
32	110	6597
33	113	6589
34	117	6569
35	119	6546
36	122	6522
37	126	6511
38	129	6511
39	132	6502
40	135	6491
41	138	6466
42	141	6455
43	145	6456
44	148	6438
45	151	6423
46	154	6405
47	157	6389
48	161	6415
49	164	6400
50	167	6390
51	170	6377
52	173	6365
53	176	6368
54	179	6352
55	182	6336
56	185	6322
57	188	6308
58	192	6330
59	195	6327
60	198	6314
61	201	6301
62	204	6292
63	208	6300
64	211	6289
65	214	6276
66	217	6261
67	220	6252
68	222	6238
69	225	6222
70	228	6211
71	231	6203
72	234	6199
73	237	6192
74	240	6180
75	243	6168
76	246	6155
77	249	6145
78	252	6133
79	255	6121
80	258	6112
81	261	6108
82	264	6105
83	267	6097
84	270	6091
85	273	6082
86	276	6073
87	279	6074
88	283	6084
89	286	6076
90	289	6068
91	292	6058
92	295	6055
93	298	6046
94	301	6039
95	304	6031
96	306	6022
97	310	6017
98	312	6007
99	315	6000
100	318	5992
101	321	5987
102	325	5987
103	328	5993
104	331	5987
105	334	5978
106	337	5970
107	340	5971
108	344	5968
109	347	5965
110	350	5960
111	353	5959
112	357	5962
113	360	5959
114	363	5955
115	366	5954
116	369	5952
117	373	5950
118	376	5947
119	379	5942
120	382	5940
121	385	5940
122	389	5939
123	392	5937
124	395	5936
125	399	5935
126	402	5936
127	405	5934
128	408	5930
129	412	5928
130	415	5924
131	418	5924
132	421	5923
133	425	5921
134	428	5919
135	431	5917
136	435	5919
137	439	5923
138	442	5928
139	446	5928
140	449	5931
141	453	5934
142	455	5919
143	459	5917
144	462	5914
145	465	5915
146	469	5913
147	472	5909
148	475	5906
149	478	5903
150	481	5899
151	484	5895
152	488	5892
153	491	5889
154	494	5888
155	497	5885
156	500	5880
157	503	5873
158	506	5865
159	509	5860
160	512	5853
161	515	5845
162	518	5839
163	521	5837
164	524	5836
