iter	Accuracy	Logloss
0	0.8255451713	0.6731754796
1	0.8317757009	0.655130479
2	0.8333333333	0.6380057648
3	0.8333333333	0.6227149923
4	0.8286604361	0.6075574539
5	0.8302180685	0.5945965031
6	0.8286604361	0.5814817271
7	0.8317757009	0.5687278631
8	0.8348909657	0.5569842026
9	0.8411214953	0.5457134063
10	0.8426791277	0.5350814654
11	0.8426791277	0.5257282645
12	0.8426791277	0.5161797416
13	0.8457943925	0.5091442788
14	0.8442367601	0.5009541829
15	0.8473520249	0.4938664808
16	0.8489096573	0.487368605
17	0.8426791277	0.4820215673
18	0.8457943925	0.4751509511
19	0.8442367601	0.4688835196
20	0.8457943925	0.4662282673
21	0.8457943925	0.4622359408
22	0.8473520249	0.4578974531
23	0.8473520249	0.4523610191
24	0.8473520249	0.4489875461
25	0.8473520249	0.4447079896
26	0.8457943925	0.4405768414
27	0.8457943925	0.4369895592
28	0.8457943925	0.4331596413
29	0.8457943925	0.4294372792
30	0.8489096573	0.4254398838
31	0.8473520249	0.4220269345
32	0.8489096573	0.4190925087
33	0.8489096573	0.4158807107
34	0.8489096573	0.4139257112
35	0.8473520249	0.412995843
36	0.8473520249	0.4101504731
37	0.8473520249	0.4072666539
38	0.8473520249	0.4049587378
39	0.8489096573	0.4026424715
40	0.8489096573	0.4008145218
41	0.8489096573	0.3993510169
42	0.8489096573	0.396928183
43	0.8489096573	0.394654367
44	0.8489096573	0.3922695199
45	0.8489096573	0.3901641148
46	0.8489096573	0.3883950515
47	0.8489096573	0.3866584715
48	0.8535825545	0.3847285095
49	0.8535825545	0.3823822675
50	0.8489096573	0.3804295694
51	0.8489096573	0.3790757623
52	0.8489096573	0.377569194
53	0.8489096573	0.3760781461
54	0.8551401869	0.3747477619
55	0.8551401869	0.373507307
56	0.8566978193	0.3722133967
57	0.8582554517	0.3713552559
58	0.8598130841	0.3703043401
59	0.8582554517	0.3691387621
60	0.8613707165	0.3673662261
61	0.8629283489	0.3661297635
62	0.8629283489	0.3647359188
63	0.8629283489	0.3646397187
64	0.8644859813	0.3633208703
65	0.8644859813	0.3625727896
66	0.8644859813	0.3611522693
67	0.8660436137	0.3595198081
68	0.8676012461	0.3582202334
69	0.8676012461	0.3574004309
70	0.8722741433	0.356522369
71	0.8707165109	0.3550773958
72	0.8722741433	0.3537596988
73	0.8738317757	0.3524578934
74	0.8738317757	0.3514389857
75	0.8738317757	0.3497638214
76	0.8753894081	0.3486246848
77	0.8753894081	0.3475737593
78	0.8753894081	0.3467109603
79	0.8738317757	0.3459554882
80	0.8769470405	0.3450257695
81	0.8785046729	0.3440504595
82	0.8816199377	0.3425788406
83	0.8816199377	0.3422669616
84	0.8800623053	0.3413240663
85	0.8831775701	0.3403996161
86	0.8862928349	0.3386137207
87	0.8862928349	0.3381164251
88	0.8847352025	0.3372606473
89	0.8847352025	0.3364285613
90	0.8847352025	0.3354172073
91	0.8847352025	0.3349769386
92	0.8847352025	0.3341230199
93	0.8847352025	0.3328833384
94	0.8847352025	0.33216202
95	0.8847352025	0.3306278921
96	0.8847352025	0.3301571917
97	0.8847352025	0.3296425488
98	0.8847352025	0.3291383311
99	0.8847352025	0.3283420305
100	0.8847352025	0.3275202729
101	0.8862928349	0.3267037323
